time,open,high,low,close,tick_volume,spread,real_volume
2025-08-14 05:00:00,3367.28,3369.22,3362.67,3362.72,4447,27,0
2025-08-14 06:00:00,3362.66,3364.02,3355.46,3360.53,5817,27,0
2025-08-14 07:00:00,3360.64,3361.73,3358.51,3360.4,3524,27,0
2025-08-14 08:00:00,3360.3,3361.77,3356.14,3358.68,4180,27,0
2025-08-14 09:00:00,3358.38,3362.32,3355.92,3361.99,6133,27,0
2025-08-14 10:00:00,3361.9,3366.29,3343.54,3345.88,8074,27,0
2025-08-14 11:00:00,3345.75,3350.3,3341.45,3346.11,7833,27,0
2025-08-14 12:00:00,3346.17,3359.06,3345.0,3356.48,7029,27,0
2025-08-14 13:00:00,3356.38,3359.0,3352.06,3354.87,3982,27,0
2025-08-14 14:00:00,3354.97,3357.04,3352.42,3355.34,4055,27,0
2025-08-14 15:00:00,3355.41,3358.3,3341.92,3350.48,12889,27,0
2025-08-14 16:00:00,3350.39,3356.0,3343.69,3344.03,15748,27,0
2025-08-14 17:00:00,3343.95,3346.58,3334.19,3340.57,14697,27,0
2025-08-14 18:00:00,3340.69,3342.78,3335.26,3341.64,8472,27,0
2025-08-14 19:00:00,3341.7,3341.98,3329.73,3334.31,9211,27,0
2025-08-14 20:00:00,3334.15,3338.41,3331.77,3337.73,6605,27,0
2025-08-14 21:00:00,3337.76,3339.27,3335.97,3338.15,5113,27,0
2025-08-14 22:00:00,3338.01,3340.99,3337.86,3337.96,4539,27,0
2025-08-14 23:00:00,3337.97,3338.45,3334.33,3335.16,2882,30,0
2025-08-15 01:00:00,3336.34,3337.55,3332.42,3333.29,2185,27,0
2025-08-15 02:00:00,3333.31,3336.56,3332.14,3335.5,1986,27,0
2025-08-15 03:00:00,3335.48,3338.63,3332.34,3337.01,3525,27,0
2025-08-15 04:00:00,3337.04,3340.21,3333.25,3339.53,5341,27,0
2025-08-15 05:00:00,3339.49,3340.72,3336.61,3340.52,3953,27,0
2025-08-15 06:00:00,3340.58,3344.75,3340.02,3343.23,3233,27,0
2025-08-15 07:00:00,3343.25,3346.6,3343.19,3345.4,3793,27,0
2025-08-15 08:00:00,3345.38,3348.65,3341.9,3343.69,4309,27,0
2025-08-15 09:00:00,3343.81,3344.02,3340.12,3340.51,4287,27,0
2025-08-15 10:00:00,3340.56,3346.56,3340.03,3346.15,5329,27,0
2025-08-15 11:00:00,3346.09,3348.21,3338.29,3341.17,5365,27,0
2025-08-15 12:00:00,3341.14,3344.88,3338.42,3342.65,4951,27,0
2025-08-15 13:00:00,3342.64,3342.64,3336.17,3337.56,4745,27,0
2025-08-15 14:00:00,3337.57,3344.04,3337.0,3342.25,4585,27,0
2025-08-15 15:00:00,3342.22,3343.82,3333.47,3342.64,9733,27,0
2025-08-15 16:00:00,3342.72,3345.9,3332.86,3335.08,11354,27,0
2025-08-15 17:00:00,3335.26,3343.55,3335.03,3341.66,8947,27,0
